stock,date,price
AMZN,2001-09-25,0.355
AMZN,2001-09-26,0.318
AMZN,2001-09-27,0.31
AMZN,2001-09-28,0.299
AMZN,2001-10-01,0.301
AMZN,2001-10-02,0.304
AMZN,2001-10-03,0.338
AMZN,2001-10-04,0.352
AMZN,2001-10-05,0.36
AMZN,2001-10-08,0.356
AMZN,2001-10-09,0.346
AMZN,2001-10-10,0.363
AMZN,2001-10-11,0.392
AMZN,2001-10-12,0.404
AMZN,2001-10-15,0.444
AMZN,2001-10-16,0.478
AMZN,2001-10-17,0.446
AMZN,2001-10-18,0.424
AMZN,2001-10-19,0.4
AMZN,2001-10-22,0.439
AMZN,2001-10-23,0.478
AMZN,2001-10-24,0.382
AMZN,2001-10-25,0.388
AMZN,2001-10-26,0.378
AMZN,2001-10-29,0.353
AMZN,2001-10-30,0.321
AMZN,2001-10-31,0.349
AMZN,2001-11-01,0.348
AMZN,2001-11-02,0.336
AMZN,2001-11-05,0.35
AMZN,2001-11-06,0.353
AMZN,2001-11-07,0.372
AMZN,2001-11-08,0.349
AMZN,2001-11-09,0.356
AMZN,2001-11-12,0.353
AMZN,2001-11-13,0.365
AMZN,2001-11-14,0.475
AMZN,2001-11-15,0.453
AMZN,2001-11-16,0.447
AMZN,2001-11-19,0.459
AMZN,2001-11-20,0.43
AMZN,2001-11-21,0.44
AMZN,2001-11-23,0.454
AMZN,2001-11-26,0.611
AMZN,2001-11-27,0.574
AMZN,2001-11-28,0.58
AMZN,2001-11-29,0.558
AMZN,2001-11-30,0.566
AMZN,2001-12-03,0.525
AMZN,2001-12-04,0.597
AMZN,2001-12-05,0.588
AMZN,2001-12-06,0.605
AMZN,2001-12-07,0.586
AMZN,2001-12-10,0.583
AMZN,2001-12-11,0.612
AMZN,2001-12-12,0.596
AMZN,2001-12-13,0.545
AMZN,2001-12-14,0.55
AMZN,2001-12-17,0.541
AMZN,2001-12-18,0.543
AMZN,2001-12-19,0.536
AMZN,2001-12-20,0.508
AMZN,2001-12-21,0.5
AMZN,2001-12-24,0.492
AMZN,2001-12-26,0.555
AMZN,2001-12-27,0.53
AMZN,2001-12-28,0.545
AMZN,2001-12-31,0.541
AMZN,2002-01-02,0.548
AMZN,2002-01-03,0.595
AMZN,2002-01-04,0.613
AMZN,2002-01-07,0.617
AMZN,2002-01-08,0.593
AMZN,2002-01-09,0.577
AMZN,2002-01-10,0.552
AMZN,2002-01-11,0.552
AMZN,2002-01-14,0.505
AMZN,2002-01-15,0.515
AMZN,2002-01-16,0.457
AMZN,2002-01-17,0.487
AMZN,2002-01-18,0.508
AMZN,2002-01-22,0.63
AMZN,2002-01-23,0.624
AMZN,2002-01-24,0.701
AMZN,2002-01-25,0.722
AMZN,2002-01-28,0.775
AMZN,2002-01-29,0.711
AMZN,2002-01-30,0.695
AMZN,2002-01-31,0.71
AMZN,2002-02-01,0.687
AMZN,2002-02-04,0.627
AMZN,2002-02-05,0.575
AMZN,2002-02-06,0.563
AMZN,2002-02-07,0.562
AMZN,2002-02-08,0.626
AMZN,2002-02-11,0.665
AMZN,2002-02-12,0.645
AMZN,2002-02-13,0.665
AMZN,2002-02-14,0.694
AMZN,2002-02-15,0.671
AMZN,2002-02-19,0.651
AMZN,2002-02-20,0.648
AMZN,2002-02-21,0.663
AMZN,2002-02-22,0.654
AMZN,2002-02-25,0.687
AMZN,2002-02-26,0.72
AMZN,2002-02-27,0.714
AMZN,2002-02-28,0.705
AMZN,2002-03-01,0.77
AMZN,2002-03-04,0.824
AMZN,2002-03-05,0.799
AMZN,2002-03-06,0.816
AMZN,2002-03-07,0.781
AMZN,2002-03-08,0.818
AMZN,2002-03-11,0.836
AMZN,2002-03-12,0.815
AMZN,2002-03-13,0.787
AMZN,2002-03-14,0.724
AMZN,2002-03-15,0.702
AMZN,2002-03-18,0.751
AMZN,2002-03-19,0.733
